S.No,Date,Samvatsara,Ayana,Rithu,Maasa,Paksha,Thithi,Nakshatra,Yoga,Karana,Sh. Thithi,Raahu,Yamakanda,T End Time,N End Time,Y EndTIme,K EndTIme,Vaasara,Events,Maasa Niyamaka,Sh Thithi End Time,Gulika,SunriseTime,SunsetTime,MoonriseTime,MoonsetTime
65,21-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Saptami,Ashlesha,Vriddha,Gara,,,,2:11 AM,1:25 AM,10:00 AM,3:22 PM,Induwara,,Aananda-Purushothama,,,6:09,,,
66,22-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Ashtami,Makha,Dhruva,Bhadra,,,,12:00 AM,12:00 AM,7:03 AM,1:06 PM,Boumawara,,Aananda-Purushothama,,,6:09,,,
67,23-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Navami,Purvaphalguni,Harshana,Balava,,,,10:04 PM,#VALUE!,1:41 AM,11:02 AM,Soumyawara,,Aananda-Purushothama,,,6:09,,,
68,24-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Dasami,Uttaraphalguni,Vajra,Taitila,,,,8:26 PM,10:00 PM,11:22 PM,9:14 AM,Guruwara,,Aananda-Purushothama,,,6:09,,,
69,25-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Ekadashi,Hasta,Siddhi,Vanija,,,,7:10 PM,9:31 PM,9:20 PM,7:46 AM,Baarghavawara,,Aananda-Purushothama,,,6:08,,,
70,26-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Dwadashi,Chitta,Vyatipata,Bhava,,,,6:21 PM,9:29 PM,7:42 PM,6:42 AM,Sthirawara,,Aananda-Purushothama,,,6:08,,,
71,27-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Trayodashi,Swati,Variyan,Kaulava,,,,6:01 PM,9:56 PM,6:26 PM,6:08 AM,Baanuwara,,Aananda-Purushothama,,,6:08,,,
72,28-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Chaturdashi,Vishakha,Parigha,Vanija,,,,6:10 PM,10:52 PM,5:33 PM,6:10 PM,Induwara,,Aananda-Purushothama,,,6:07,,,
73,29-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Poornima,Anuradha,Shiva,Bhadra,,,,6:51 PM,12:19 AM,5:06 PM,6:27 AM,Boumawara,,Aananda-Purushothama,,,6:07,,,
74,30-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Pratipad,Jyeshta,Siddha,Balava,,,,8:00 PM,2:12 AM,5:01 PM,7:23 AM,Soumyawara,,Aananda-Purushothama,,,6:07,,,
75,31-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Dvitya,Moola,Sadhya,Taitila,,,,9:32 PM,4:27 AM,5:15 PM,8:44 AM,Guruwara,,Aananda-Purushothama,,,6:06,,,
76,01-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Tritiya,Purvashadha,Shubha,Vanija,,,,11:23 PM,6:06 AM,5:44 PM,10:27 AM,Baarghavawara,,Aananda-Purushothama,,,6:06,,,
