S.No,Day of Year,Samvatsara,Ayana,Rithu,Maasa,Paksha,Thithi,Nakshatra,Yoga,Karana,Sh. Thithi,Raahu,Yamakanda,T End Time,N End Time,,,Vaasara,Events,Maasa Niyamaka,Sh Thithi End Time,Gulika,SunriseTime,SunsetTime,MoonriseTime,MoonsetTime
44,120,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Prathama,Visaga,Variyan,Baala,Prathama,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,03:20 a.m,03:44 p.m,,,Guru,,Sri Kamalalya Madhusudhana,,,,,,
45,121,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Dwithiya,Anuradha,Pariga,Thaithila,Dwithiya,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,05:23 a.m,06:19 p.m,,,Baargava,,Sri Kamalalya Madhusudhana,,,,,,
46,122,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Truthiya,Jeshtta,Siva,Vanik,Truthiya,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,Full,08:54 p.m,,,Sthira,,Sri Kamalalya Madhusudhana,,,,,,
47,123,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Truthiya,Moola,Siddha,Badra,Chaturthi,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,07:25 a.m,11:24 p.m,,,Baanu,,Sri Kamalalya Madhusudhana,,,,,,
48,124,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Chaturthi,Poorvashada,Saadhya,Baala,Panchami,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,09:14 a.m,01:38 a.m,,,Indu,Rishaba Sankramana (Tharpana from Udaya Kaala),Sri Kamalalya Madhusudhana,,,,,,
49,125,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Panchami,Utharashada,Subha,Thaithila,Shasti,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,10:44 a.m,03:30 a.m,,,Bowma,Sri Srinivasa Theerthar Aradhane (Navabrindavana),Sri Kamalalya Madhusudhana,,,,,,
50,126,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Shasti,Sravana,Shukla,Vanik,Sapthami,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,11:50 a.m,04:56 p.m,,,Sowmya,,Sri Kamalalya Madhusudhana,,,,,,
51,127,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Sapthami,Danishta,Brahma,Bava,Ashtami,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,12:26 p.m,05:52 a.m,,,Guru,,Sri Kamalalya Madhusudhana,,,,,,
52,128,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Ashtami,Sadabisha,Iyndra,Koulava,Navami,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,12:32 p.m,Full,,,Baargava,,Sri Kamalalya Madhusudhana,,,,,,
53,129,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Navami,Sadabisha,Vaidruthi,Koulava,Dasami,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,12:10 p.m,06:26 a.m,,,Sthira,Sri Vidya Rathanakara Theerthar Aradhane  (Sosale),Sri Kamalalya Madhusudhana,,,,,,
54,130,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Dasami,Poorvabadra,Vishkamba,Badra,Dasami,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,11:17 p.m,06:23 a.m,,,Baanu,,Sri Kamalalya Madhusudhana,,,,,,
55,131,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Ekadasi,Revathi,Preethi,Baala,-,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,10:00 p.m,04:56 p.m,,,Indu,Ekadasi Upavasa,Sri Kamalalya Madhusudhana,,,,,,
56,132,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Dwadasi,Aswini,Ayushman,Thaithila,"Ekadasi, Dwadasi,Trayodasi",03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,08:20 a.m,03:47 p.m,,,Bowma,Sri Brahmanya Theerthar Aradhane (Abbur),Sri Kamalalya Madhusudhana,,,,,,
57,133,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Trayodasi,Bharani,Shobana,Vanik,Chaturdasi,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,06:21 a.m,02:23 p.m,,,Sowmya,,Sri Kamalalya Madhusudhana,,,,,,
58,134,Hevilambi,Uttarayana,Vasantha,Vaishakha,Krishna,Amavasya,Kruthika,Athiganda,Chatushpada,Amavasya,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,01:42 p.m,12:49 p.m,,,Guru,Amavasya - Thila tharpana,Sri Kamalalya Madhusudhana,,,,,,
59,135,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Prathama,Rohini,Sukarma,Kimsdhukna,Prathama,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,11:17 p.m,11:10 p.m,,,Baargava,,Sri Rama Trivikrama,,,,,,
60,136,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Dwithiya,Mirugasirsa,Druthi,Baalava,Dwithiya,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,08:48 p.m,09:31 p.m,,,Sthira,,Sri Rama Trivikrama,,,,,,
61,137,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Truthiya,Arthra,Soola,Thaithila,Truthiya,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m, 06:26 p.m,07:56 p.m,,,Baanu,,Sri Rama Trivikrama,,,,,,
62,138,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Chaturthi,Punarvasu,Kanda,Badra,Chaturthi,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,04:14 p.m,06:33 p.m,,,Indu,,Sri Rama Trivikrama,,,,,,
63,139,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Panchami,Pushya,Vrudhi,Baalava,"Panchami, Shashti",03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,02:14 p.m,05:23 p.m,,,Bowma,,Sri Rama Trivikrama,,,,,,
64,140,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Shasti,Aslesha,Druva,Thaithila,Saptami,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,12:35 p.m,04:34 p.m,,,Sowmya,,Sri Rama Trivikrama,,,,,,
65,141,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Sapthami,Maga,Harshana,Vanik,Ashtami,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,11:16 a.m,04:05 p.m,,,Guru,,Sri Rama Trivikrama,,,,,,
66,142,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Ashtami,Poorvapalguni,Vajra,Bava,Navami,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,10:23 p.m,04:04 p.m,,,Baargava,Mohanadasaru Aradhane (Chippagiri),Sri Rama Trivikrama,,,,,,
