S.No,DATE,samvatsara,ayana,ritu,masa,paksha,TITHI  ,NAKSHTRA,YOGA,KARNA,Sh. Thithi,Raahu,Yamaganda,TITHI end time,NAKSHATRA END TIME,YOGA END TIME,KARANA END TIME,DAY,Events,masaniyamaka,S.Thithi End Time,Gulika,SUNRISE,SunSet,MoonRise,MoonSet
39,25-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Dasami,Makha,Vriddha,Gara,,,,11:36 AM,3:56 PM,7:43 PM,11:36 AM,Budhavara,,Kamala-Madhusudana,,,6:19,,,
40,26-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Ekadashi,Purvaphalguni,Dhruva,Bhadra,,,,9:41 AM,2:50 PM,5:09 PM,9:41 AM,Guruvara,,Kamala-Madhusudana,,,6:18,,,
41,27-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Dwadashi,Uttaraphalguni,Vyaghata,Balava,,,,8:06 AM,2:04 PM,2:53 PM,8:06 AM,Shukravara,,Kamala-Madhusudana,,,6:18,,,
42,28-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Trayodashi,Hasta,Harshana,Taitila,,,,6:53 AM,1:42 PM,12:56 PM,6:53 AM,Shanivara,,Kamala-Madhusudana,,,6:18,,,
43,29-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Poornima,Chitta,Vajra,Bhadra,,,,5:49 AM,1:45 PM,11:20 AM,5:57 PM,Ravivara,,Kamala-Madhusudana,,,6:17,,,
44,30-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Pratipad,Swati,Siddhi,Balava,,,,6:01 AM,2:19 PM,10:08 AM,5:55 PM,Somavara,,Raama-Trivikrama,,,6:17,,,
45,01-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Dvitya,Vishakha,Vyatipata,Taitila,,,,6:16 AM,3:22 PM,9:20 AM,6:22 PM,Mangalavara,,Raama-Trivikrama,,,6:16,,,
46,02-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Dvitya,Anuradha,Variyan,Gara,,,,6:45 AM,4:55 PM,8:56 AM,6:45 AM,Budhavara,,Raama-Trivikrama,,,6:16,,,
47,03-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Tritiya,Jyeshta,Parigha,Bhadra,,,,7:57 AM,6:54 PM,8:55 AM,7:57 AM,Guruvara,,Raama-Trivikrama,,,6:16,,,
48,04-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Chaturthi,Moola,Shiva,Balava,,,,9:32 AM,9:13 PM,9:10 AM,9:32 AM,Shukravara,,Raama-Trivikrama,,,6:15,,,
49,05-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Panchami,Purvashadha,Siddha,Taitila,,,,11:26 AM,11:47 PM,9:41 AM,11:26 AM,Shanivara,,Raama-Trivikrama,,,6:15,,,
50,06-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Shashti,Uttarashadha,Sadhya,Vanija,,,,1:29 PM,2:24 AM,10:18 AM,1:29 PM,Ravivara,,Raama-Trivikrama,,,6:15,,,
51,07-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Saptami,Sharavana,Shubha,Bhava,,,,3:29 PM,4:54 AM,10:55 AM,3:29 PM,Somavara,,Raama-Trivikrama,,,6:14,,,
52,08-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Ashtami,Dhanishta,Shukla,Kaulava,,,,5:18 PM,6:14 AM,11:25 AM,5:18 PM,Mangalavara,,Raama-Trivikrama,,,6:14,,,
53,09-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Navami,Dhanishta,Brahma,Gara,,,,6:48 PM,7:10 AM,11:42 AM,6:48 PM,Budhavara,,Raama-Trivikrama,,,6:14,,,
54,10-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Dasami,Shatabhisha,Indra,Vanija,,,,7:51 PM,9:02 AM,11:39 AM,7:22 AM,Guruvara,,Raama-Trivikrama,,,6:13,,,
55,11-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Ekadashi,Purvabhadra,Vaidhriti,Bhava,,,,8:26 PM,10:28 AM,11:15 AM,8:11 AM,Shukravara,,Raama-Trivikrama,,,6:13,,,
